CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-1-1,9,s1_below_10,3,6,s3_n5_4,2,100,s4_71_up,76,1024,s3_1005_1025,1018,11,s2_3_15,2,10,s1_below_12,23,s1_below_4,4,Rain,s2_104_183
2013-1-2,11,s1_below_10,0,3,s3_n5_4,0,100,s4_71_up,42,1029,s4_1025_up,1024,31,s2_3_15,0,37,s1_below_12,,s1_below_4,4,Fog,s1_below_104
2013-1-3,13,s1_below_10,0,2,s3_n5_4,-5,93,s3_49_71,30,1039,s4_1025_up,1028,31,s4_23_up,31,10,s1_below_12,,s1_below_4,,,s1_below_104
2013-1-4,12,s1_below_10,-3,1,s3_n5_4,-5,93,s3_49_71,36,1043,s4_1025_up,1036,31,s4_23_up,31,8,s1_below_12,,s1_below_4,,,s4_297_up
2013-1-5,12,s1_below_10,-3,2,s3_n5_4,-4,100,s4_71_up,49,1040,s4_1025_up,1031,31,s2_3_15,6,10,s1_below_12,,s1_below_4,,,s4_297_up
2013-1-6,11,s1_below_10,-4,3,s3_n5_4,-4,100,s4_71_up,58,1035,s4_1025_up,1028,10,s2_3_15,4,11,s1_below_12,27,s1_below_4,1,,s1_below_104
2013-1-7,4,s1_below_10,-2,4,s3_n5_4,-2,100,s4_71_up,86,1033,s4_1025_up,1028,5,s1_below_3,0,10,s1_below_12,,s1_below_4,6,Fog,s1_below_104
2013-1-8,1,s1_below_10,1,3,s3_n5_4,-2,100,s4_71_up,82,1034,s4_1025_up,1029,9,s2_3_15,2,10,s1_below_12,,s1_below_4,6,,s1_below_104
2013-1-9,5,s1_below_10,0,3,s3_n5_4,-1,100,s4_71_up,69,1032,s4_1025_up,1026,10,s2_3_15,3,10,s1_below_12,,s1_below_4,6,,s1_below_104
2013-1-10,11,s1_below_10,4,8,s4_4_up,2,100,s4_71_up,76,1028,s3_1005_1025,1024,8,s2_3_15,0,8,s1_below_12,,s1_below_4,4,Fog,s4_297_up
2013-1-11,9,s1_below_10,3,6,s4_4_up,3,100,s4_71_up,70,1027,s3_1005_1025,1022,31,s2_3_15,1,11,s1_below_12,,s1_below_4,6,Fog,s3_183_297
